City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,leer,53.2316,7.461,59,86,100,2.06,DE,1682276713
1,aasiaat,68.7098,-52.8699,33,99,100,4.49,GL,1682276714
2,adamstown,-25.066,-130.1015,76,88,100,6.99,PN,1682276714
3,puerto ayora,-0.7393,-90.3518,88,87,100,5.81,EC,1682276715
4,thompson,55.7435,-97.8558,32,55,20,6.17,CA,1682276615
5,nar'yan-mar,67.6713,53.087,19,91,26,6.43,RU,1682276715
6,west island,-12.1568,96.8225,81,89,40,4.63,CC,1682276716
7,edinburgh of the seven seas,-37.0676,-12.3116,63,78,100,11.71,SH,1682276716
8,at taj,24.2049,23.2857,86,16,59,4.97,LY,1682276717
9,sao cristovao,-11.0147,-37.2064,84,65,40,5.14,BR,1682276717
10,ilulissat,69.2167,-51.1,36,93,75,1.03,GL,1682276717
11,anadyr,64.75,177.4833,22,85,40,6.71,RU,1682276718
12,college,64.8569,-147.8028,15,53,100,10.29,US,1682276718
13,yuli,9.6989,10.2744,86,51,60,3.72,NG,1682276719
14,masuguru,-11.3667,38.4167,73,96,8,1.29,TZ,1682276720
15,papatowai,-46.5619,169.4708,49,63,51,8.99,NZ,1682276720
16,lihue,21.9789,-159.3672,78,95,100,1.54,US,1682276462
17,port elizabeth,-33.918,25.5701,72,66,0,1.34,ZA,1682276721
18,port-aux-francais,-49.35,70.2167,39,72,100,14.85,TF,1682276722
19,'ain benian,36.8028,2.9219,68,68,0,0.64,DZ,1682276722
20,jaumave,23.4167,-99.3833,93,28,50,0.6,MX,1682276723
21,manggar,-2.8833,108.2667,81,82,86,2.46,ID,1682276723
22,hwange,-18.3693,26.5019,76,45,76,0.6,ZW,1682276724
23,alliance,40.9153,-81.1059,46,67,100,4.87,US,1682276650
24,champerico,14.3,-91.9167,94,57,18,5.46,GT,1682276549
25,bychawa,51.0161,22.533,57,63,87,4.29,PL,1682276725
26,hadibu,12.65,54.0333,83,76,14,0.71,YE,1682276725
27,hilo,19.7297,-155.09,78,84,75,4.12,US,1682276722
28,ust-nera,64.5667,143.2,14,96,100,3.18,RU,1682276726
29,bethel,41.3712,-73.414,62,79,100,4.12,US,1682276727
30,mahina,-17.5065,-149.489,80,89,75,2.57,PF,1682276727
31,bredasdorp,-34.5322,20.0403,64,84,100,2.63,ZA,1682276727
32,puerto natales,-51.7236,-72.4875,52,54,75,3.6,CL,1682276728
33,sisimiut,66.9395,-53.6735,34,100,100,4.32,GL,1682276728
34,st. john's,47.5649,-52.7093,41,96,100,11.18,CA,1682276729
35,uturoa,-16.7333,-151.4333,83,77,98,7.46,PF,1682276729
36,qaqortoq,60.7167,-46.0333,36,75,100,1.61,GL,1682276730
37,blackmans bay,-43.0167,147.3167,45,86,68,2.53,AU,1682276730
38,robertsport,6.7533,-11.3686,83,79,41,4.11,LR,1682276731
39,surgut,61.25,73.4167,41,100,100,2.0,RU,1682276731
40,ushuaia,-54.8,-68.3,46,57,20,1.03,AR,1682276732
41,luderitz,-26.6481,15.1594,65,47,100,3.83,NA,1682276732
42,wailua homesteads,22.0669,-159.378,77,94,100,1.54,US,1682276732
43,tavricheskoye,54.5851,73.6395,50,74,100,3.77,RU,1682276733
44,albany,42.6001,-73.9662,52,91,100,0.89,US,1682276513
45,nadym,65.5333,72.5167,34,97,100,8.15,RU,1682276734
46,georgetown,5.4112,100.3354,79,94,20,2.24,MY,1682276678
47,chivacoa,10.1603,-68.895,85,64,43,2.72,VE,1682276735
48,saint-philippe,-21.3585,55.7679,78,77,100,3.14,RE,1682276735
49,kerikeri,-35.2268,173.9474,53,92,15,3.58,NZ,1682276736
50,alofi,-19.0595,-169.9187,71,94,2,2.57,NU,1682276736
51,jasper,37.2001,-94.3502,59,30,40,3.09,US,1682276736
52,wynyard,-41.0,145.7167,54,98,31,2.64,AU,1682276737
53,pauini,-7.7136,-66.9764,82,70,100,1.32,BR,1682276737
54,isafjordur,66.0755,-23.124,39,52,0,5.14,IS,1682276738
55,kayangel,8.0823,134.7173,82,73,80,3.37,PW,1682276738
56,waitangi,-43.9535,-176.5597,56,92,100,1.79,NZ,1682276738
57,totness,5.8833,-56.3167,81,77,93,2.84,SR,1682276739
58,mary,37.0,62.5,81,12,100,5.18,TM,1682276739
59,olonkinbyen,70.9221,-8.7187,24,59,18,6.35,SJ,1682276740
60,timbuktu,16.7735,-3.0074,92,11,1,4.76,ML,1682276590
61,jamestown,42.097,-79.2353,43,67,100,5.66,US,1682276548
62,chandler,33.3062,-111.8412,91,17,40,2.57,US,1682276741
63,vorgashor,67.5833,63.95,18,85,100,6.89,RU,1682276741
64,talnakh,69.4865,88.3972,34,92,99,3.73,RU,1682276742
65,tofol,5.3248,163.0078,83,79,93,6.09,FM,1682276742
66,margate,51.3813,1.3862,51,83,99,0.89,GB,1682276740
67,ribeira grande,38.5167,-28.7,65,88,75,2.68,PT,1682276743
68,ebon,4.582,168.6964,83,79,33,7.26,MH,1682276743
69,dudinka,69.4058,86.1778,35,87,100,6.56,RU,1682276744
70,sittwe,20.15,92.9,81,75,0,1.44,MM,1682276744
71,madras,13.0878,80.2785,86,88,75,4.12,IN,1682276529
72,vetluzhskiy,58.3902,45.4654,53,63,100,1.65,RU,1682276745
73,flying fish cove,-10.4217,105.6791,81,81,23,6.9,CX,1682276450
74,tiksi,71.6872,128.8694,9,96,100,1.71,RU,1682276746
75,east london,-33.0153,27.9116,69,73,0,1.54,ZA,1682276747
76,port mathurin,-19.6833,63.4167,79,81,8,7.87,MU,1682276747
77,talara,-4.5772,-81.2719,89,66,40,8.23,PE,1682276748
78,garachico,28.7781,-17.7646,65,73,75,3.6,ES,1682276748
79,konarka,19.9,86.1167,77,79,47,3.23,IN,1682276748
80,vilyuchinsk,52.9306,158.4028,32,80,100,4.63,RU,1682276749
81,udachny,66.4167,112.4,10,98,100,0.91,RU,1682276749
82,chonchi,-42.6128,-73.8092,58,65,100,0.76,CL,1682276549
83,acacias,3.987,-73.758,75,88,100,1.14,CO,1682276750
84,bilibino,68.0546,166.4372,16,67,96,2.84,RU,1682276750
